RMS_s,Mean_s,STD_s, MAX_s, Kurtosis_s, Skewness_s, Var_s,Entropy_s,RMS_v,Mean_v,STD_v, MAX_v, Kurtosis_v, Skewness_v, Var_v,Entropy_v,target
3.150289966,2.600166536,1.778629845,7.968004667,2.3181595,0.447377583,9.92432687,-1429058.833,0.80405301,0.641714802,0.484466768,2.533662348,4.217714883,1.114416294,0.646501243,-9988.591068,1
3.197713802,2.647165703,1.793865005,10.51530526,2.92705378,0.555625446,10.22537356,-1489278.855,0.820056036,0.65515904,0.493217396,2.566729278,4.315579111,1.123631996,0.672491902,-11616.13269,1
3.149211182,2.593879955,1.785883992,11.13683447,2.922412487,0.548181161,9.917531069,-1435110.162,0.811272739,0.645092577,0.491959211,2.562980299,4.37146451,1.13368617,0.658163458,-11060.06545,1
3.452300626,2.91478107,1.849999831,8.063714716,2.314091755,0.406583491,11.91837961,-1792382.937,0.870588077,0.694438432,0.525056548,2.828156573,3.981834237,1.034586576,0.757923601,-17354.13901,1
2.630508645,2.153639499,1.51044969,15.36345997,13.87709429,1.642550397,6.919575732,-907234.5796,0.621388795,0.51924003,0.34134463,1.460198896,2.284687448,0.433423775,0.386124035,7626.269657,1
2.683624185,2.190743943,1.550008965,7.265819649,2.188050769,0.503990057,7.201838766,-934267.6793,0.620556594,0.51705775,0.343138637,1.43573177,2.25868307,0.427567827,0.385090487,7546.453536,1
2.459735806,2.047049268,1.363791307,5.450457551,2.133134736,0.41689895,6.050300236,-715763.0495,0.613725128,0.512332216,0.337900157,1.483487058,2.341055215,0.458022141,0.376658533,7815.241717,1
2.757429796,2.303179942,1.516188382,6.299896136,1.971280407,0.473982328,7.60341908,-987661.4327,0.611422715,0.510333166,0.33674926,1.439765846,2.290381815,0.441821075,0.373837736,7922.469236,1
0.749596623,0.584641871,0.46914111,4.647997316,15.02513493,2.176879747,0.561895097,-8888.326423,0.465047736,0.3670756,0.285528511,1.416299385,3.442670142,0.978702935,0.216269396,8360.401169,1
0.810094782,0.559562505,0.585790254,9.441274257,112.1761555,7.697637946,0.656253555,-42471.86669,0.49004042,0.385148441,0.302988659,1.337621127,3.223237173,0.973906603,0.240139613,7886.376208,1
0.880516618,0.570027361,0.67110903,12.49821396,210.0018966,11.94701678,0.775309514,-80116.51799,0.48273034,0.376580748,0.302022095,1.479271278,3.169944978,0.925029469,0.233028581,7923.986489,1
0.698033429,0.56935437,0.403843449,2.116033035,3.050523319,0.728227332,0.487250669,1815.763693,0.498175595,0.387550788,0.31302599,1.412029075,3.059519329,0.949470189,0.248178924,7482.70723,1
1.022440485,0.646966611,0.791726775,14.83081274,216.6223965,12.18353656,1.045384545,-128712.0298,0.305402697,0.237843298,0.191577939,0.885217791,3.130816854,0.951329107,0.093270807,7392.05966,2
0.797629285,0.65622592,0.453413863,3.019490771,3.791928283,0.759730232,0.636212477,-5418.103392,0.287153896,0.220766696,0.183630336,0.847536063,3.218024186,1.020824482,0.08245736,6873.935981,2
0.770873371,0.596976475,0.48771877,3.488300213,5.328125505,1.234432585,0.594245754,-9094.680352,0.268691011,0.207029027,0.171272964,0.754580392,3.265156401,1.031014494,0.072194859,6510.872572,2
0.695786605,0.56849918,0.401161937,2.185706944,3.21331947,0.828572712,0.484118999,1715.22131,0.24824894,0.189524296,0.160338989,0.749544748,3.489515658,1.102898181,0.061627536,5949.550032,2
1.199575867,0.724677157,0.955951649,18.62123939,258.1475851,13.83036465,1.43898226,-223377.8151,0.437603065,0.343403375,0.271241656,1.278956511,3.180825516,0.964861467,0.191496442,8421.434576,2
0.849109697,0.682490383,0.505172505,3.21587959,5.049165269,1.09556178,0.720987278,-13999.96559,0.409592068,0.324916087,0.249392146,1.14631362,2.929354683,0.881616385,0.167765662,8795.441277,2
1.08603169,0.669594219,0.855057329,15.90706634,212.1331175,12.02612088,1.179464832,-157161.5101,0.410118164,0.326122408,0.248681161,1.050126232,2.729784653,0.832986847,0.168196908,8885.815658,2
0.919702751,0.63948568,0.660999208,11.44937992,150.6870999,9.33533478,0.84585315,-69523.69231,0.408235573,0.324902199,0.247176183,1.03749784,2.712721861,0.811346514,0.166656283,8931.643584,2
0.527788861,0.419295592,0.320553183,2.849952112,12.07021988,1.919214409,0.278561082,6370.689606,0.300330167,0.245473966,0.173035661,0.930559551,4.111394221,1.054243806,0.090198209,7792.383933,2
0.716013148,0.581145511,0.418268121,4.765415984,23.18069308,2.545327962,0.512674828,-2972.593995,0.293440373,0.239786802,0.169145246,0.86057071,4.025797762,1.027985733,0.086107252,7650.23595,2
0.596897724,0.436934987,0.406666961,5.368205976,47.36618178,4.386355663,0.356286893,-4112.141712,0.284682416,0.233135669,0.163378003,0.894417291,4.298083437,1.087482605,0.081044078,7442.0369,2
0.62426143,0.494369417,0.381187773,2.836554587,5.320138192,1.064436844,0.389702333,3876.529324,0.271189259,0.221405076,0.156601076,0.836587044,4.326551503,1.074975845,0.073543614,7093.445453,2
1.36564606,0.749616819,1.141529608,23.08834861,308.0860649,15.78176637,1.864989161,-365222.4716,0.497857527,0.390568592,0.308739694,1.417150212,3.168154159,0.935989799,0.247862117,7779.934977,2
0.918636356,0.758378521,0.518420821,3.627506911,4.530491729,0.948051995,0.843892754,-19662.67887,0.472807857,0.368272505,0.296520472,1.439099208,3.14432343,0.932799965,0.22354727,8003.027344,2
0.993780442,0.738689711,0.66479013,10.64044285,104.1092507,7.151543383,0.987599566,-68260.4739,0.457460251,0.358086821,0.284684616,1.313482385,2.916278639,0.883519599,0.209269881,8349.877025,2
